lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,lag_30
-0.6944517544094964,-0.6937255109848979,-0.6934899954536627,-0.6926613557701874,-0.6917503097162394,-0.6919888993081591,-0.6917372039442489,-0.6911803480621451,-0.6903119924926614,-0.689402086295013,-0.6893166701709496,-0.6893812438716411,-0.6886288506303307,-0.6886194752624852,-0.6880394988100764,-0.6876067683087497,-0.6867364329744837,-0.6859825685258307,-0.685684887421116,-0.6850355659989353,-0.68444806631939,-0.6835046351911023,-0.682902923350433,-0.68229416563564,-0.6828992088720225,-0.6827866887264418,-0.6825217626722645,-0.6824991093812425,-0.6823144034639571,-0.6823537393801445
-0.6931646409884392,-0.6938535837166335,-0.6931130072857382,-0.6928940976697806,-0.691988202143751,-0.6910782080104623,-0.6913610337712166,-0.6911038773684606,-0.6905778802808674,-0.689771391515211,-0.688817563087362,-0.6887114773939418,-0.6887936450016438,-0.6880029365506539,-0.68797316145423,-0.6874159769134105,-0.6870527001068076,-0.6862082350043262,-0.6854293896298329,-0.6851420735074796,-0.6843971120663068,-0.6838751581715115,-0.6829262731292397,-0.6824301903526089,-0.6817095586456763,-0.6825088762856553,-0.6824249311197849,-0.6822932573936547,-0.6822907854720968,-0.6822766118168859
-0.6924892088241761,-0.6925649641870354,-0.6932412232706429,-0.6925166645010336,-0.6922211438301544,-0.6913163069576755,-0.6904493760443311,-0.6907273165029924,-0.6905013208314259,-0.6900376470322963,-0.6891873236813644,-0.6882117931563242,-0.6881230611578973,-0.688167908244302,-0.6873560130681049,-0.6873495675277141,-0.6868616522544364,-0.6865249559397871,-0.6856553613717774,-0.6848862209397524,-0.6845037291739793,-0.6838241384222292,-0.6832972661663435,-0.6824535781161521,-0.6818457535586718,-0.6813169921846705,-0.6821465739129177,-0.6821962001096212,-0.6820844425725714,-0.6822529271287269
-0.6910307106186802,-0.6918887416696187,-0.6919511623816801,-0.6926450318334434,-0.6918433866708883,-0.6915494508659323,-0.6906877276630842,-0.6898147119233161,-0.6901243229103609,-0.6899609816993888,-0.6894539075062587,-0.6885819813315491,-0.687622767118291,-0.6874966028377252,-0.687521147896685,-0.6867317490349033,-0.6867951536029012,-0.6863336339580302,-0.6859725107418282,-0.685112506459169,-0.684247613326989,-0.6839308925746993,-0.6832461816918595,-0.6828251746738675,-0.6818691705853116,-0.6814534428386857,-0.6809523526306733,-0.6819171940026463,-0.6819871538281574,-0.6820460015248068
-0.6925763805303028,-0.6904285368106388,-0.6912741834892157,-0.6913534481429566,-0.6919718641944582,-0.6911713657672834,-0.6909211189845738,-0.6900533110953874,-0.689210659115626,-0.6895834623815952,-0.6893771476407468,-0.6888488734268206,-0.6879934070617897,-0.6869957704708289,-0.6868491786588808,-0.6868970631687447,-0.6861765046538915,-0.686267039889382,-0.685780929955093,-0.6854300962131666,-0.6844741317003704,-0.6836744475183995,-0.6833530712758862,-0.682774007096656,-0.6822412320898323,-0.681476903836823,-0.6810890708525763,-0.6807201887784036,-0.6817074823526807,-0.6819484380407287
-0.6929534927476348,-0.6919760153792277,-0.6898123453475644,-0.6906756701374441,-0.6906791718020742,-0.6912999548250459,-0.6905426326605304,-0.6902869448184029,-0.6894495352179709,-0.6886685349689807,-0.6889991628207112,-0.6887720247982613,-0.688260624865415,-0.6873668092309845,-0.6863478510357844,-0.6862243642991552,-0.6863420409988658,-0.6856475032577612,-0.6857142458033488,-0.6852382494031914,-0.6847920482628778,-0.683901257056729,-0.6830963008856075,-0.6828810705655287,-0.6821900004910333,-0.6818496639826255,-0.6811125778556945,-0.680857225714774,-0.6805076225329554,-0.6816679767837853
-0.6930878219723519,-0.6923535688723029,-0.6913615548170711,-0.689212106426582,-0.6900008119885331,-0.6900061402176757,-0.690671358177507,-0.6899080653963562,-0.6896834401081087,-0.6889077414424268,-0.6880831072518894,-0.688393602886729,-0.6881836824527356,-0.6876343145667901,-0.6867192567036292,-0.6857224923288654,-0.6856684379042447,-0.6858132771263508,-0.6850938711124369,-0.685171472655867,-0.6846000040373081,-0.684219582266703,-0.6833233981613986,-0.6826238824686962,-0.6822971979192143,-0.6817983361833073,-0.6814860689517851,-0.6808807875168931,-0.6806449862724271,-0.680464728606178
-0.6937237389041084,-0.6924880552816078,-0.6917395306149852,-0.6907631445993394,-0.6885359919472644,-0.6893271915049092,-0.6893761705689844,-0.6900369246083714,-0.6893041209394312,-0.6891419698283657,-0.6883226086801747,-0.6874764880158442,-0.6878047987246863,-0.6875572893623979,-0.6869870265664201,-0.6860943012731777,-0.6851658913301778,-0.6851387074969044,-0.6852598692265734,-0.6845502365315715,-0.6845331585748913,-0.6840272911889856,-0.683642127208392,-0.6828513491796873,-0.6820396880250412,-0.6819057349022634,-0.681434640503108,-0.6812551492870907,-0.6806686042642874,-0.6806024802555551
-0.6936101125521583,-0.6931247163279906,-0.6918741674513487,-0.6911415665638849,-0.6900883615389438,-0.687861099820818,-0.6886965013531723,-0.6887403918107878,-0.6894331297119689,-0.6887621260526212,-0.688557125882695,-0.6877162663971503,-0.6868865646300395,-0.6871779979471999,-0.6869099251944066,-0.686362361883509,-0.6855382000507937,-0.6846354398323777,-0.6845843870936259,-0.6847164651456288,-0.6839112831816981,-0.6839603598039334,-0.6834495921843793,-0.6831705967257632,-0.6822674393455596,-0.6816477414669545,-0.6815422498216291,-0.6812036009495619,-0.681043858805374,-0.6806261649437142
-0.6939856627142967,-0.6930109570168029,-0.6925115406220942,-0.6912763623269947,-0.6904671083427957,-0.6894148170590296,-0.6872288538468171,-0.6880600166867442,-0.6881350920928078,-0.6888913132472355,-0.688176813738523,-0.6879510547890667,-0.6871266356308097,-0.6862587758126557,-0.6865302587107477,-0.6862851767939552,-0.6858066209815072,-0.685008282768687,-0.684080438649109,-0.6840400450587836,-0.6840776828495282,-0.6833376850569663,-0.6833825758881413,-0.68297774849141,-0.682587086338626,-0.6818759204492237,-0.6812837504835889,-0.6813114611245246,-0.6809921875363422,-0.6810024791891606
