x,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,lag_30
284.8940124511719,269.2279968261719,270.7850036621094,266.2070007324219,269.0299987792969,271.9129943847656,260.885986328125,256.33599853515625,255.41200256347656,258.6210021972656,263.0719909667969,257.0639953613281,249.01100158691406,250.99000549316406,243.593994140625,242.7989959716797,240.51499938964844,244.29600524902344,246.99000549316406,243.94400024414062,245.21200561523438,244.6060028076172,249.0070037841797,249.28399658203125,250.89500427246094,236.822998046875,233.54299926757812,232.40199279785156,229.98199462890625,229.7050018310547,228.80299377441406
293.114990234375,284.8940124511719,269.2279968261719,270.7850036621094,266.2070007324219,269.0299987792969,271.9129943847656,260.885986328125,256.33599853515625,255.41200256347656,258.6210021972656,263.0719909667969,257.0639953613281,249.01100158691406,250.99000549316406,243.593994140625,242.7989959716797,240.51499938964844,244.29600524902344,246.99000549316406,243.94400024414062,245.21200561523438,244.6060028076172,249.0070037841797,249.28399658203125,250.89500427246094,236.822998046875,233.54299926757812,232.40199279785156,229.98199462890625,229.7050018310547
310.86700439453125,293.114990234375,284.8940124511719,269.2279968261719,270.7850036621094,266.2070007324219,269.0299987792969,271.9129943847656,260.885986328125,256.33599853515625,255.41200256347656,258.6210021972656,263.0719909667969,257.0639953613281,249.01100158691406,250.99000549316406,243.593994140625,242.7989959716797,240.51499938964844,244.29600524902344,246.99000549316406,243.94400024414062,245.21200561523438,244.6060028076172,249.0070037841797,249.28399658203125,250.89500427246094,236.822998046875,233.54299926757812,232.40199279785156,229.98199462890625
292.0539855957031,310.86700439453125,293.114990234375,284.8940124511719,269.2279968261719,270.7850036621094,266.2070007324219,269.0299987792969,271.9129943847656,260.885986328125,256.33599853515625,255.41200256347656,258.6210021972656,263.0719909667969,257.0639953613281,249.01100158691406,250.99000549316406,243.593994140625,242.7989959716797,240.51499938964844,244.29600524902344,246.99000549316406,243.94400024414062,245.21200561523438,244.6060028076172,249.0070037841797,249.28399658203125,250.89500427246094,236.822998046875,233.54299926757812,232.40199279785156
287.4639892578125,292.0539855957031,310.86700439453125,293.114990234375,284.8940124511719,269.2279968261719,270.7850036621094,266.2070007324219,269.0299987792969,271.9129943847656,260.885986328125,256.33599853515625,255.41200256347656,258.6210021972656,263.0719909667969,257.0639953613281,249.01100158691406,250.99000549316406,243.593994140625,242.7989959716797,240.51499938964844,244.29600524902344,246.99000549316406,243.94400024414062,245.21200561523438,244.6060028076172,249.0070037841797,249.28399658203125,250.89500427246094,236.822998046875,233.54299926757812
285.8290100097656,287.4639892578125,292.0539855957031,310.86700439453125,293.114990234375,284.8940124511719,269.2279968261719,270.7850036621094,266.2070007324219,269.0299987792969,271.9129943847656,260.885986328125,256.33599853515625,255.41200256347656,258.6210021972656,263.0719909667969,257.0639953613281,249.01100158691406,250.99000549316406,243.593994140625,242.7989959716797,240.51499938964844,244.29600524902344,246.99000549316406,243.94400024414062,245.21200561523438,244.6060028076172,249.0070037841797,249.28399658203125,250.89500427246094,236.822998046875
278.0889892578125,285.8290100097656,287.4639892578125,292.0539855957031,310.86700439453125,293.114990234375,284.8940124511719,269.2279968261719,270.7850036621094,266.2070007324219,269.0299987792969,271.9129943847656,260.885986328125,256.33599853515625,255.41200256347656,258.6210021972656,263.0719909667969,257.0639953613281,249.01100158691406,250.99000549316406,243.593994140625,242.7989959716797,240.51499938964844,244.29600524902344,246.99000549316406,243.94400024414062,245.21200561523438,244.6060028076172,249.0070037841797,249.28399658203125,250.89500427246094
279.47198486328125,278.0889892578125,285.8290100097656,287.4639892578125,292.0539855957031,310.86700439453125,293.114990234375,284.8940124511719,269.2279968261719,270.7850036621094,266.2070007324219,269.0299987792969,271.9129943847656,260.885986328125,256.33599853515625,255.41200256347656,258.6210021972656,263.0719909667969,257.0639953613281,249.01100158691406,250.99000549316406,243.593994140625,242.7989959716797,240.51499938964844,244.29600524902344,246.99000549316406,243.94400024414062,245.21200561523438,244.6060028076172,249.0070037841797,249.28399658203125
274.9010009765625,279.47198486328125,278.0889892578125,285.8290100097656,287.4639892578125,292.0539855957031,310.86700439453125,293.114990234375,284.8940124511719,269.2279968261719,270.7850036621094,266.2070007324219,269.0299987792969,271.9129943847656,260.885986328125,256.33599853515625,255.41200256347656,258.6210021972656,263.0719909667969,257.0639953613281,249.01100158691406,250.99000549316406,243.593994140625,242.7989959716797,240.51499938964844,244.29600524902344,246.99000549316406,243.94400024414062,245.21200561523438,244.6060028076172,249.0070037841797
273.614013671875,274.9010009765625,279.47198486328125,278.0889892578125,285.8290100097656,287.4639892578125,292.0539855957031,310.86700439453125,293.114990234375,284.8940124511719,269.2279968261719,270.7850036621094,266.2070007324219,269.0299987792969,271.9129943847656,260.885986328125,256.33599853515625,255.41200256347656,258.6210021972656,263.0719909667969,257.0639953613281,249.01100158691406,250.99000549316406,243.593994140625,242.7989959716797,240.51499938964844,244.29600524902344,246.99000549316406,243.94400024414062,245.21200561523438,244.6060028076172
278.9809875488281,273.614013671875,274.9010009765625,279.47198486328125,278.0889892578125,285.8290100097656,287.4639892578125,292.0539855957031,310.86700439453125,293.114990234375,284.8940124511719,269.2279968261719,270.7850036621094,266.2070007324219,269.0299987792969,271.9129943847656,260.885986328125,256.33599853515625,255.41200256347656,258.6210021972656,263.0719909667969,257.0639953613281,249.01100158691406,250.99000549316406,243.593994140625,242.7989959716797,240.51499938964844,244.29600524902344,246.99000549316406,243.94400024414062,245.21200561523438
275.8330078125,278.9809875488281,273.614013671875,274.9010009765625,279.47198486328125,278.0889892578125,285.8290100097656,287.4639892578125,292.0539855957031,310.86700439453125,293.114990234375,284.8940124511719,269.2279968261719,270.7850036621094,266.2070007324219,269.0299987792969,271.9129943847656,260.885986328125,256.33599853515625,255.41200256347656,258.6210021972656,263.0719909667969,257.0639953613281,249.01100158691406,250.99000549316406,243.593994140625,242.7989959716797,240.51499938964844,244.29600524902344,246.99000549316406,243.94400024414062
277.22198486328125,275.8330078125,278.9809875488281,273.614013671875,274.9010009765625,279.47198486328125,278.0889892578125,285.8290100097656,287.4639892578125,292.0539855957031,310.86700439453125,293.114990234375,284.8940124511719,269.2279968261719,270.7850036621094,266.2070007324219,269.0299987792969,271.9129943847656,260.885986328125,256.33599853515625,255.41200256347656,258.6210021972656,263.0719909667969,257.0639953613281,249.01100158691406,250.99000549316406,243.593994140625,242.7989959716797,240.51499938964844,244.29600524902344,246.99000549316406
276.04901123046875,277.22198486328125,275.8330078125,278.9809875488281,273.614013671875,274.9010009765625,279.47198486328125,278.0889892578125,285.8290100097656,287.4639892578125,292.0539855957031,310.86700439453125,293.114990234375,284.8940124511719,269.2279968261719,270.7850036621094,266.2070007324219,269.0299987792969,271.9129943847656,260.885986328125,256.33599853515625,255.41200256347656,258.6210021972656,263.0719909667969,257.0639953613281,249.01100158691406,250.99000549316406,243.593994140625,242.7989959716797,240.51499938964844,244.29600524902344
288.27801513671875,276.04901123046875,277.22198486328125,275.8330078125,278.9809875488281,273.614013671875,274.9010009765625,279.47198486328125,278.0889892578125,285.8290100097656,287.4639892578125,292.0539855957031,310.86700439453125,293.114990234375,284.8940124511719,269.2279968261719,270.7850036621094,266.2070007324219,269.0299987792969,271.9129943847656,260.885986328125,256.33599853515625,255.41200256347656,258.6210021972656,263.0719909667969,257.0639953613281,249.01100158691406,250.99000549316406,243.593994140625,242.7989959716797,240.51499938964844
288.6969909667969,288.27801513671875,276.04901123046875,277.22198486328125,275.8330078125,278.9809875488281,273.614013671875,274.9010009765625,279.47198486328125,278.0889892578125,285.8290100097656,287.4639892578125,292.0539855957031,310.86700439453125,293.114990234375,284.8940124511719,269.2279968261719,270.7850036621094,266.2070007324219,269.0299987792969,271.9129943847656,260.885986328125,256.33599853515625,255.41200256347656,258.6210021972656,263.0719909667969,257.0639953613281,249.01100158691406,250.99000549316406,243.593994140625,242.7989959716797
292.6860046386719,288.6969909667969,288.27801513671875,276.04901123046875,277.22198486328125,275.8330078125,278.9809875488281,273.614013671875,274.9010009765625,279.47198486328125,278.0889892578125,285.8290100097656,287.4639892578125,292.0539855957031,310.86700439453125,293.114990234375,284.8940124511719,269.2279968261719,270.7850036621094,266.2070007324219,269.0299987792969,271.9129943847656,260.885986328125,256.33599853515625,255.41200256347656,258.6210021972656,263.0719909667969,257.0639953613281,249.01100158691406,250.99000549316406,243.593994140625
293.6239929199219,292.6860046386719,288.6969909667969,288.27801513671875,276.04901123046875,277.22198486328125,275.8330078125,278.9809875488281,273.614013671875,274.9010009765625,279.47198486328125,278.0889892578125,285.8290100097656,287.4639892578125,292.0539855957031,310.86700439453125,293.114990234375,284.8940124511719,269.2279968261719,270.7850036621094,266.2070007324219,269.0299987792969,271.9129943847656,260.885986328125,256.33599853515625,255.41200256347656,258.6210021972656,263.0719909667969,257.0639953613281,249.01100158691406,250.99000549316406
294.427001953125,293.6239929199219,292.6860046386719,288.6969909667969,288.27801513671875,276.04901123046875,277.22198486328125,275.8330078125,278.9809875488281,273.614013671875,274.9010009765625,279.47198486328125,278.0889892578125,285.8290100097656,287.4639892578125,292.0539855957031,310.86700439453125,293.114990234375,284.8940124511719,269.2279968261719,270.7850036621094,266.2070007324219,269.0299987792969,271.9129943847656,260.885986328125,256.33599853515625,255.41200256347656,258.6210021972656,263.0719909667969,257.0639953613281,249.01100158691406
289.5899963378906,294.427001953125,293.6239929199219,292.6860046386719,288.6969909667969,288.27801513671875,276.04901123046875,277.22198486328125,275.8330078125,278.9809875488281,273.614013671875,274.9010009765625,279.47198486328125,278.0889892578125,285.8290100097656,287.4639892578125,292.0539855957031,310.86700439453125,293.114990234375,284.8940124511719,269.2279968261719,270.7850036621094,266.2070007324219,269.0299987792969,271.9129943847656,260.885986328125,256.33599853515625,255.41200256347656,258.6210021972656,263.0719909667969,257.0639953613281
287.72198486328125,289.5899963378906,294.427001953125,293.6239929199219,292.6860046386719,288.6969909667969,288.27801513671875,276.04901123046875,277.22198486328125,275.8330078125,278.9809875488281,273.614013671875,274.9010009765625,279.47198486328125,278.0889892578125,285.8290100097656,287.4639892578125,292.0539855957031,310.86700439453125,293.114990234375,284.8940124511719,269.2279968261719,270.7850036621094,266.2070007324219,269.0299987792969,271.9129943847656,260.885986328125,256.33599853515625,255.41200256347656,258.6210021972656,263.0719909667969
284.6499938964844,287.72198486328125,289.5899963378906,294.427001953125,293.6239929199219,292.6860046386719,288.6969909667969,288.27801513671875,276.04901123046875,277.22198486328125,275.8330078125,278.9809875488281,273.614013671875,274.9010009765625,279.47198486328125,278.0889892578125,285.8290100097656,287.4639892578125,292.0539855957031,310.86700439453125,293.114990234375,284.8940124511719,269.2279968261719,270.7850036621094,266.2070007324219,269.0299987792969,271.9129943847656,260.885986328125,256.33599853515625,255.41200256347656,258.6210021972656
281.60101318359375,284.6499938964844,287.72198486328125,289.5899963378906,294.427001953125,293.6239929199219,292.6860046386719,288.6969909667969,288.27801513671875,276.04901123046875,277.22198486328125,275.8330078125,278.9809875488281,273.614013671875,274.9010009765625,279.47198486328125,278.0889892578125,285.8290100097656,287.4639892578125,292.0539855957031,310.86700439453125,293.114990234375,284.8940124511719,269.2279968261719,270.7850036621094,266.2070007324219,269.0299987792969,271.9129943847656,260.885986328125,256.33599853515625,255.41200256347656
282.614013671875,281.60101318359375,284.6499938964844,287.72198486328125,289.5899963378906,294.427001953125,293.6239929199219,292.6860046386719,288.6969909667969,288.27801513671875,276.04901123046875,277.22198486328125,275.8330078125,278.9809875488281,273.614013671875,274.9010009765625,279.47198486328125,278.0889892578125,285.8290100097656,287.4639892578125,292.0539855957031,310.86700439453125,293.114990234375,284.8940124511719,269.2279968261719,270.7850036621094,266.2070007324219,269.0299987792969,271.9129943847656,260.885986328125,256.33599853515625
281.22698974609375,282.614013671875,281.60101318359375,284.6499938964844,287.72198486328125,289.5899963378906,294.427001953125,293.6239929199219,292.6860046386719,288.6969909667969,288.27801513671875,276.04901123046875,277.22198486328125,275.8330078125,278.9809875488281,273.614013671875,274.9010009765625,279.47198486328125,278.0889892578125,285.8290100097656,287.4639892578125,292.0539855957031,310.86700439453125,293.114990234375,284.8940124511719,269.2279968261719,270.7850036621094,266.2070007324219,269.0299987792969,271.9129943847656,260.885986328125
285.2179870605469,281.22698974609375,282.614013671875,281.60101318359375,284.6499938964844,287.72198486328125,289.5899963378906,294.427001953125,293.6239929199219,292.6860046386719,288.6969909667969,288.27801513671875,276.04901123046875,277.22198486328125,275.8330078125,278.9809875488281,273.614013671875,274.9010009765625,279.47198486328125,278.0889892578125,285.8290100097656,287.4639892578125,292.0539855957031,310.86700439453125,293.114990234375,284.8940124511719,269.2279968261719,270.7850036621094,266.2070007324219,269.0299987792969,271.9129943847656
281.8819885253906,285.2179870605469,281.22698974609375,282.614013671875,281.60101318359375,284.6499938964844,287.72198486328125,289.5899963378906,294.427001953125,293.6239929199219,292.6860046386719,288.6969909667969,288.27801513671875,276.04901123046875,277.22198486328125,275.8330078125,278.9809875488281,273.614013671875,274.9010009765625,279.47198486328125,278.0889892578125,285.8290100097656,287.4639892578125,292.0539855957031,310.86700439453125,293.114990234375,284.8940124511719,269.2279968261719,270.7850036621094,266.2070007324219,269.0299987792969
278.5769958496094,281.8819885253906,285.2179870605469,281.22698974609375,282.614013671875,281.60101318359375,284.6499938964844,287.72198486328125,289.5899963378906,294.427001953125,293.6239929199219,292.6860046386719,288.6969909667969,288.27801513671875,276.04901123046875,277.22198486328125,275.8330078125,278.9809875488281,273.614013671875,274.9010009765625,279.47198486328125,278.0889892578125,285.8290100097656,287.4639892578125,292.0539855957031,310.86700439453125,293.114990234375,284.8940124511719,269.2279968261719,270.7850036621094,266.2070007324219
279.5849914550781,278.5769958496094,281.8819885253906,285.2179870605469,281.22698974609375,282.614013671875,281.60101318359375,284.6499938964844,287.72198486328125,289.5899963378906,294.427001953125,293.6239929199219,292.6860046386719,288.6969909667969,288.27801513671875,276.04901123046875,277.22198486328125,275.8330078125,278.9809875488281,273.614013671875,274.9010009765625,279.47198486328125,278.0889892578125,285.8290100097656,287.4639892578125,292.0539855957031,310.86700439453125,293.114990234375,284.8940124511719,269.2279968261719,270.7850036621094
260.99700927734375,279.5849914550781,278.5769958496094,281.8819885253906,285.2179870605469,281.22698974609375,282.614013671875,281.60101318359375,284.6499938964844,287.72198486328125,289.5899963378906,294.427001953125,293.6239929199219,292.6860046386719,288.6969909667969,288.27801513671875,276.04901123046875,277.22198486328125,275.8330078125,278.9809875488281,273.614013671875,274.9010009765625,279.47198486328125,278.0889892578125,285.8290100097656,287.4639892578125,292.0539855957031,310.86700439453125,293.114990234375,284.8940124511719,269.2279968261719
265.0830078125,260.99700927734375,279.5849914550781,278.5769958496094,281.8819885253906,285.2179870605469,281.22698974609375,282.614013671875,281.60101318359375,284.6499938964844,287.72198486328125,289.5899963378906,294.427001953125,293.6239929199219,292.6860046386719,288.6969909667969,288.27801513671875,276.04901123046875,277.22198486328125,275.8330078125,278.9809875488281,273.614013671875,274.9010009765625,279.47198486328125,278.0889892578125,285.8290100097656,287.4639892578125,292.0539855957031,310.86700439453125,293.114990234375,284.8940124511719
264.4700012207031,265.0830078125,260.99700927734375,279.5849914550781,278.5769958496094,281.8819885253906,285.2179870605469,281.22698974609375,282.614013671875,281.60101318359375,284.6499938964844,287.72198486328125,289.5899963378906,294.427001953125,293.6239929199219,292.6860046386719,288.6969909667969,288.27801513671875,276.04901123046875,277.22198486328125,275.8330078125,278.9809875488281,273.614013671875,274.9010009765625,279.47198486328125,278.0889892578125,285.8290100097656,287.4639892578125,292.0539855957031,310.86700439453125,293.114990234375
270.385986328125,264.4700012207031,265.0830078125,260.99700927734375,279.5849914550781,278.5769958496094,281.8819885253906,285.2179870605469,281.22698974609375,282.614013671875,281.60101318359375,284.6499938964844,287.72198486328125,289.5899963378906,294.427001953125,293.6239929199219,292.6860046386719,288.6969909667969,288.27801513671875,276.04901123046875,277.22198486328125,275.8330078125,278.9809875488281,273.614013671875,274.9010009765625,279.47198486328125,278.0889892578125,285.8290100097656,287.4639892578125,292.0539855957031,310.86700439453125
266.3760070800781,270.385986328125,264.4700012207031,265.0830078125,260.99700927734375,279.5849914550781,278.5769958496094,281.8819885253906,285.2179870605469,281.22698974609375,282.614013671875,281.60101318359375,284.6499938964844,287.72198486328125,289.5899963378906,294.427001953125,293.6239929199219,292.6860046386719,288.6969909667969,288.27801513671875,276.04901123046875,277.22198486328125,275.8330078125,278.9809875488281,273.614013671875,274.9010009765625,279.47198486328125,278.0889892578125,285.8290100097656,287.4639892578125,292.0539855957031
264.0799865722656,266.3760070800781,270.385986328125,264.4700012207031,265.0830078125,260.99700927734375,279.5849914550781,278.5769958496094,281.8819885253906,285.2179870605469,281.22698974609375,282.614013671875,281.60101318359375,284.6499938964844,287.72198486328125,289.5899963378906,294.427001953125,293.6239929199219,292.6860046386719,288.6969909667969,288.27801513671875,276.04901123046875,277.22198486328125,275.8330078125,278.9809875488281,273.614013671875,274.9010009765625,279.47198486328125,278.0889892578125,285.8290100097656,287.4639892578125
265.67999267578125,264.0799865722656,266.3760070800781,270.385986328125,264.4700012207031,265.0830078125,260.99700927734375,279.5849914550781,278.5769958496094,281.8819885253906,285.2179870605469,281.22698974609375,282.614013671875,281.60101318359375,284.6499938964844,287.72198486328125,289.5899963378906,294.427001953125,293.6239929199219,292.6860046386719,288.6969909667969,288.27801513671875,276.04901123046875,277.22198486328125,275.8330078125,278.9809875488281,273.614013671875,274.9010009765625,279.47198486328125,278.0889892578125,285.8290100097656
261.5509948730469,265.67999267578125,264.0799865722656,266.3760070800781,270.385986328125,264.4700012207031,265.0830078125,260.99700927734375,279.5849914550781,278.5769958496094,281.8819885253906,285.2179870605469,281.22698974609375,282.614013671875,281.60101318359375,284.6499938964844,287.72198486328125,289.5899963378906,294.427001953125,293.6239929199219,292.6860046386719,288.6969909667969,288.27801513671875,276.04901123046875,277.22198486328125,275.8330078125,278.9809875488281,273.614013671875,274.9010009765625,279.47198486328125,278.0889892578125
258.5069885253906,261.5509948730469,265.67999267578125,264.0799865722656,266.3760070800781,270.385986328125,264.4700012207031,265.0830078125,260.99700927734375,279.5849914550781,278.5769958496094,281.8819885253906,285.2179870605469,281.22698974609375,282.614013671875,281.60101318359375,284.6499938964844,287.72198486328125,289.5899963378906,294.427001953125,293.6239929199219,292.6860046386719,288.6969909667969,288.27801513671875,276.04901123046875,277.22198486328125,275.8330078125,278.9809875488281,273.614013671875,274.9010009765625,279.47198486328125
257.97601318359375,258.5069885253906,261.5509948730469,265.67999267578125,264.0799865722656,266.3760070800781,270.385986328125,264.4700012207031,265.0830078125,260.99700927734375,279.5849914550781,278.5769958496094,281.8819885253906,285.2179870605469,281.22698974609375,282.614013671875,281.60101318359375,284.6499938964844,287.72198486328125,289.5899963378906,294.427001953125,293.6239929199219,292.6860046386719,288.6969909667969,288.27801513671875,276.04901123046875,277.22198486328125,275.8330078125,278.9809875488281,273.614013671875,274.9010009765625
211.07899475097656,257.97601318359375,258.5069885253906,261.5509948730469,265.67999267578125,264.0799865722656,266.3760070800781,270.385986328125,264.4700012207031,265.0830078125,260.99700927734375,279.5849914550781,278.5769958496094,281.8819885253906,285.2179870605469,281.22698974609375,282.614013671875,281.60101318359375,284.6499938964844,287.72198486328125,289.5899963378906,294.427001953125,293.6239929199219,292.6860046386719,288.6969909667969,288.27801513671875,276.04901123046875,277.22198486328125,275.8330078125,278.9809875488281,273.614013671875
